date,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
2020-03-14,1.54271,3.21197,13.86901,19.93060,21.64153,22.89765,17.34742,22.08195,24.83458
2020-03-18,2.58368,6.68652,26.10939,35.96157,41.63384,50.76107,44.73001,54.97003,70.86644
2020-03-19,3.71466,8.68568,32.04416,44.32249,54.34573,61.27148,60.44653,71.63133,96.75481
2020-03-20,4.35731,10.01556,41.15433,53.29517,65.95797,73.94544,80.56972,86.38668,113.27068
